# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	1.492866e-06	6.221498e+02	-4.119101e-02	-2.059401e-02	-2.059700e-02
0.005         	1.348271e-06	1.425788e+01	3.326859e-02	1.663564e-02	1.663295e-02
0.0075        	1.271730e-06	7.567652e+00	-1.354719e-03	-6.760876e-04	-6.786310e-04
0.01          	1.250526e-06	5.621821e+00	-3.408562e-04	-1.691776e-04	-1.716786e-04
0.0125        	1.226154e-06	5.087234e+00	2.617565e-05	1.431398e-05	1.186167e-05
0.015         	1.200388e-06	4.854942e+00	1.938638e-04	9.813231e-05	9.573153e-05
0.0175        	1.174544e-06	4.716913e+00	1.769283e-04	8.963868e-05	8.728960e-05
0.02          	1.148832e-06	4.612198e+00	2.051900e-04	1.037438e-04	1.014462e-04
0.0225        	1.123487e-06	4.520347e+00	1.838140e-04	9.303048e-05	9.078351e-05
0.025         	1.098567e-06	4.433867e+00	1.806159e-04	9.140653e-05	8.920939e-05
0.0275        	1.074115e-06	4.350330e+00	1.711945e-04	8.667134e-05	8.452311e-05
0.03          	1.050113e-06	4.268782e+00	1.757344e-04	8.891734e-05	8.681711e-05
0.0325        	1.026588e-06	4.189257e+00	1.737862e-04	8.791968e-05	8.586650e-05
0.035         	1.003520e-06	4.111804e+00	1.846144e-04	9.331072e-05	9.130368e-05
0.0375        	9.809699e-07	4.036630e+00	1.837469e-04	9.285440e-05	9.089247e-05
0.04          	9.589965e-07	3.963806e+00	1.751476e-04	8.853280e-05	8.661481e-05
0.0425        	9.376232e-07	3.893452e+00	1.641958e-04	8.303552e-05	8.116027e-05
0.045         	9.168304e-07	3.825568e+00	1.600983e-04	8.096597e-05	7.913231e-05
0.0475        	8.966309e-07	3.760073e+00	1.512332e-04	7.651325e-05	7.471999e-05
0.05          	8.770261e-07	3.696953e+00	1.432873e-04	7.252066e-05	7.076661e-05
0.0525        	8.579863e-07	3.636149e+00	1.401133e-04	7.091462e-05	6.919865e-05
0.055         	8.394947e-07	3.577564e+00	1.393322e-04	7.050560e-05	6.882661e-05
0.0575        	8.215383e-07	3.521097e+00	1.400350e-04	7.083903e-05	6.919596e-05
0.06          	8.041209e-07	3.466666e+00	1.388254e-04	7.021680e-05	6.860856e-05
0.0625        	7.872381e-07	3.414217e+00	1.366629e-04	6.911867e-05	6.754420e-05
0.065         	7.708845e-07	3.363635e+00	1.349725e-04	6.825713e-05	6.671536e-05
0.0675        	7.550498e-07	3.314813e+00	1.343913e-04	6.795068e-05	6.644058e-05
0.07          	7.397195e-07	3.267635e+00	1.351485e-04	6.831399e-05	6.683455e-05
0.0725        	7.249084e-07	3.222075e+00	1.298508e-04	6.565029e-05	6.420047e-05
